Roll No: 24CE001 | Marks: 8.50
Roll No: 24CE002 | Marks: 9.50
Roll No: 24CE003 | Marks: 9.00
Roll No: 24CE004 | Marks: 9.50
Roll No: 24CE005 | Marks: 8.50
Roll No: 24CE006 | Marks: 9.00
Roll No: 24CE007 | Marks: 8.00
Roll No: 24CE008 | Marks: 8.00
Roll No: 24CE009 | Marks: 9.00
Roll No: 24CE010 | Marks: 9.50
Roll No: 24CE011 | Marks: 9.50
Roll No: 24CE012 | Marks: 9.50
Roll No: 24CE013 | Marks: 9.50
Roll No: 24CE014 | Marks: 9.50
Roll No: 24CE015 | Marks: 9.50
Roll No: 24CE016 | Marks: 9.00
Roll No: 24CE017 | Marks: 9.00
Roll No: 24CE018 | Marks: 7.50
Roll No: 24CE019 | Marks: 7.50
Roll No: 24CE020 | Marks: 8.50
Roll No: 24CE021 | Marks: 9.00
Roll No: 24CE022 | Marks: 9.50
Roll No: 24CE023 | Marks: 9.00
Roll No: 24CE024 | Marks: 7.50
Roll No: 24CE025 | Marks: 9.00
Roll No: 24CE026 | Marks: 9.50
Roll No: 24CE027 | Marks: 5.50
Roll No: 24CE028 | Marks: 9.50
Roll No: 24CE029 | Marks: 7.50
Roll No: 24CE030 | Marks: 9.50
Roll No: 24CE031 | Marks: 9.00
Roll No: 24CE032 | Marks: 8.50
Roll No: 24CE033 | Marks: 9.50
Roll No: 24CE034 | Marks: 9.00
Roll No: 24CE035 | Marks: 9.50
Roll No: 24CE036 | Marks: 9.50
Roll No: 24CE037 | Marks: 9.50
Roll No: 24CE038 | Marks: 9.00
Roll No: 24CE039 | Marks: 9.50
Roll No: 24CE040 | Marks: 8.00
Roll No: 24CE041 | Marks: 9.50
Roll No: 24CE042 | Marks: 9.50
Roll No: 24CE043 | Marks: 9.50
Roll No: 24CE044 | Marks: 9.50
Roll No: 24CE045 | Marks: 9.00
Roll No: 24CE046 | Marks: 9.50
Roll No: 24CE047 | Marks: 8.00
Roll No: 24CE048 | Marks: 9.00
Roll No: 24CE049 | Marks: 9.50
Roll No: 24CE050 | Marks: 9.50
Roll No: 24CE051 | Marks: 8.00
Roll No: 24CE052 | Marks: 9.50
Roll No: 24CE053 | Marks: 9.50
Roll No: 24CE054 | Marks: 5.00
Roll No: 24CE055 | Marks: 9.00
Roll No: 24CE056 | Marks: 7.00
Roll No: 24CE057 | Marks: 0.00
Roll No: 24CE058 | Marks: 8.50
Roll No: 24CE059 | Marks: 9.00
